Unit,Timestep,op_setting_1,op_setting_2,op_setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,Timestamp,is_user
176,11,42.0025,0.8408,100.0,445.0,548.96,1355.17,1110.94,3.91,5.71,138.61,2211.84,8316.43,1.02,41.97,130.62,2388.0,8082.28,9.3598,0.02,331,2212,100.0,10.53,6.2832,2023-02-09,1
176,12,9.9998,0.2505,100.0,489.05,604.58,1505.36,1306.97,10.52,15.49,395.09,2318.88,8781.45,1.26,45.47,372.13,2388.15,8129.64,8.6565,0.03,367,2319,100.0,28.68,17.1381,2023-02-10,1
176,13,25.002,0.6214,60.0,462.54,536.79,1259.1,1047.61,7.05,9.03,175.07,1915.31,8005.35,0.94,36.58,164.55,2028.25,7869.83,10.9287,0.02,307,1915,84.93,14.22,8.6335,2023-02-11,1
176,14,0.0013,0.0004,100.0,518.67,642.15,1595.31,1405.64,14.62,21.61,552.72,2388.07,9062.68,1.3,47.33,521.74,2388.12,8133.75,8.4392,0.03,395,2388,100.0,38.99,23.3217,2023-02-12,1
176,15,10.0063,0.25,100.0,489.05,604.47,1503.62,1311.48,10.52,15.49,394.54,2318.92,8776.88,1.26,45.58,371.83,2388.08,8129.43,8.6427,0.03,368,2319,100.0,28.44,17.0254,2023-02-13,1
176,16,42.0025,0.8402,100.0,445.0,550.25,1357.38,1127.79,3.91,5.72,138.4,2211.9,8321.81,1.02,42.01,130.29,2388.0,8093.41,9.381,0.02,331,2212,100.0,10.64,6.2557,2023-02-14,1
176,17,42.0065,0.84,100.0,445.0,549.35,1353.13,1130.12,3.91,5.72,138.84,2211.87,8318.44,1.02,42.01,130.37,2387.93,8084.98,9.4004,0.02,330,2212,100.0,10.37,6.2608,2023-02-15,1
176,18,25.0066,0.6208,60.0,462.54,536.79,1262.39,1045.0,7.05,9.03,175.35,1915.32,8013.17,0.94,36.63,164.7,2028.25,7873.63,10.9159,0.02,307,1915,84.93,14.17,8.4493,2023-02-16,1
176,19,10.0072,0.2518,100.0,489.05,604.7,1496.78,1312.41,10.52,15.49,394.7,2318.94,8776.97,1.26,45.34,371.95,2388.07,8132.18,8.6467,0.03,368,2319,100.0,28.63,17.2055,2023-02-17,1
176,20,34.9991,0.84,100.0,449.44,555.81,1363.81,1136.16,5.48,8.0,195.22,2222.97,8353.69,1.02,41.9,183.38,2388.06,8065.42,9.3211,0.02,334,2223,100.0,14.9,8.8206,2023-02-18,1
176,21,35.0033,0.8401,100.0,449.44,555.56,1369.54,1120.12,5.48,8.0,194.44,2223.0,8345.86,1.02,41.96,183.32,2387.97,8068.98,9.3233,0.02,332,2223,100.0,14.96,8.9809,2023-02-19,1
176,22,42.0074,0.8414,100.0,445.0,549.6,1355.93,1128.51,3.91,5.72,138.17,2211.88,8322.61,1.02,42.15,130.83,2387.98,8081.9,9.3607,0.02,329,2212,100.0,10.49,6.3659,2023-02-20,1
176,23,25.0008,0.6219,60.0,462.54,536.28,1262.75,1052.92,7.05,9.03,175.59,1915.29,8007.16,0.94,36.77,164.44,2028.23,7873.48,10.911,0.02,305,1915,84.93,14.4,8.5298,2023-02-21,1
176,24,0.0028,0.0019,100.0,518.67,642.69,1588.96,1401.75,14.62,21.61,553.61,2388.1,9056.17,1.3,47.52,521.58,2388.06,8136.95,8.4152,0.03,393,2388,100.0,38.88,23.3533,2023-02-22,1
176,25,42.0021,0.84,100.0,445.0,549.45,1354.18,1125.19,3.91,5.72,138.1,2211.88,8329.76,1.02,41.91,130.8,2387.93,8080.96,9.3388,0.02,330,2212,100.0,10.61,6.3699,2023-02-23,1
176,26,25.005,0.62,60.0,462.54,536.63,1261.61,1049.46,7.05,9.03,175.97,1915.38,8011.19,0.94,36.85,164.39,2028.19,7872.69,10.9032,0.02,307,1915,84.93,14.16,8.4169,2023-02-24,1
176,27,42.0037,0.84,100.0,445.0,549.45,1358.18,1123.37,3.91,5.71,139.02,2211.87,8329.76,1.02,41.95,130.83,2387.98,8086.91,9.3551,0.02,330,2212,100.0,10.69,6.3618,2023-02-25,1
176,28,42.0062,0.84,100.0,445.0,549.3,1350.56,1123.94,3.91,5.71,138.16,2211.85,8316.2,1.02,41.87,130.72,2387.98,8090.86,9.3301,0.02,331,2212,100.0,10.55,6.2754,2023-02-26,1
176,29,42.0023,0.8402,100.0,445.0,549.32,1358.5,1129.0,3.91,5.71,137.15,2211.9,8326.4,1.02,42.0,130.94,2388.01,8086.83,9.4018,0.02,330,2212,100.0,10.52,6.4522,2023-02-27,1
176,30,20.0061,0.7003,100.0,491.19,607.23,1483.91,1259.18,9.35,13.66,334.26,2324.04,8718.79,1.08,44.31,315.39,2388.14,8063.93,9.2333,0.02,364,2324,100.0,24.57,14.6701,2023-02-28,1
176,31,10.0063,0.2519,100.0,489.05,604.99,1495.05,1308.84,10.52,15.49,394.57,2318.98,8785.53,1.26,45.39,371.27,2388.13,8127.74,8.6412,0.03,370,2319,100.0,28.57,17.1619,2023-03-01,1
176,32,24.9984,0.62,60.0,462.54,537.13,1267.47,1050.33,7.05,9.03,176.14,1915.31,8011.58,0.94,36.6,164.12,2028.21,7870.28,10.9358,0.02,307,1915,84.93,14.26,8.5307,2023-03-02,1
176,33,35.0049,0.84,100.0,449.44,555.54,1365.43,1128.06,5.48,8.0,194.25,2222.95,8347.02,1.02,41.86,183.42,2388.09,8073.89,9.3525,0.02,334,2223,100.0,14.81,8.8496,2023-03-03,1
176,34,20.0011,0.7,100.0,491.19,607.9,1489.16,1253.3,9.35,13.66,333.86,2323.95,8722.19,1.08,44.23,314.28,2388.07,8061.25,9.2387,0.02,366,2324,100.0,24.58,14.7275,2023-03-04,1
176,35,41.9995,0.84,100.0,445.0,549.42,1349.01,1125.43,3.91,5.72,137.67,2211.88,8318.64,1.02,42.12,130.94,2387.93,8084.03,9.3499,0.02,330,2212,100.0,10.34,6.5599,2023-03-05,1
176,36,10.0031,0.25,100.0,489.05,604.71,1492.83,1303.33,10.52,15.49,394.97,2318.94,8780.2,1.26,45.36,371.6,2388.17,8130.97,8.6544,0.03,368,2319,100.0,28.67,17.1127,2023-03-06,1
176,37,10.0017,0.2503,100.0,489.05,604.57,1502.77,1310.73,10.52,15.49,394.39,2318.93,8774.46,1.26,45.35,371.49,2388.09,8126.34,8.6729,0.03,369,2319,100.0,28.67,17.0962,2023-03-07,1
176,38,10.0057,0.25,100.0,489.05,604.7,1505.32,1302.93,10.52,15.49,394.53,2318.94,8783.02,1.26,45.25,371.68,2388.13,8124.79,8.667,0.03,372,2319,100.0,28.52,17.1531,2023-03-08,1
176,39,20.0009,0.7009,100.0,491.19,607.5,1484.2,1252.0,9.35,13.65,334.57,2324.01,8721.31,1.08,44.39,314.45,2388.1,8057.75,9.2386,0.02,365,2324,100.0,24.3,14.6771,2023-03-09,1
176,40,25.0046,0.62,60.0,462.54,537.19,1255.61,1048.26,7.05,9.02,175.56,1915.33,8009.68,0.94,36.65,164.49,2028.23,7874.08,10.9186,0.02,308,1915,84.93,14.27,8.5215,2023-03-10,1
176,41,42.0016,0.84,100.0,445.0,549.56,1350.39,1122.46,3.91,5.72,138.74,2211.9,8318.77,1.02,42.01,130.51,2387.96,8084.21,9.3674,0.02,331,2212,100.0,10.5,6.3021,2023-03-11,1
176,42,41.9988,0.84,100.0,445.0,549.47,1354.56,1128.18,3.91,5.71,138.35,2211.84,8318.35,1.02,42.07,130.81,2387.93,8084.84,9.3516,0.02,330,2212,100.0,10.49,6.3103,2023-03-12,1
176,43,0.0025,0.0,100.0,518.67,642.94,1589.52,1408.3,14.62,21.61,554.56,2388.13,9051.71,1.3,47.47,521.6,2388.11,8136.4,8.4253,0.03,393,2388,100.0,38.95,23.3355,2023-03-13,1
176,44,10.0037,0.25,100.0,489.05,604.98,1493.0,1317.67,10.52,15.49,395.2,2318.94,8774.06,1.26,45.5,371.71,2388.17,8122.34,8.6853,0.03,370,2319,100.0,28.6,17.0805,2023-03-14,1
176,45,42.0078,0.84,100.0,445.0,550.12,1356.51,1134.08,3.91,5.72,139.19,2211.9,8318.7,1.02,41.97,130.64,2387.96,8083.79,9.3831,0.02,331,2212,100.0,10.39,6.4191,2023-03-15,1
176,46,42.0052,0.8411,100.0,445.0,549.8,1353.75,1133.59,3.91,5.71,138.87,2211.94,8326.54,1.02,41.94,130.34,2387.99,8088.95,9.356,0.02,332,2212,100.0,10.65,6.333,2023-03-16,1
176,47,0.0021,0.0018,100.0,518.67,642.99,1592.63,1408.49,14.62,21.61,553.9,2388.13,9058.67,1.3,47.47,521.21,2388.13,8140.62,8.4442,0.03,394,2388,100.0,38.95,23.319,2023-03-17,1
176,48,10.0026,0.25,100.0,489.05,604.38,1496.71,1310.31,10.52,15.49,394.57,2318.93,8781.57,1.26,45.38,371.27,2388.12,8135.62,8.643,0.03,371,2319,100.0,28.48,17.1964,2023-03-18,1
176,49,41.9983,0.8409,100.0,445.0,549.97,1351.14,1119.48,3.91,5.71,139.07,2211.9,8325.59,1.02,42.09,130.88,2388.03,8089.73,9.3433,0.02,333,2212,100.0,10.61,6.2994,2023-03-19,1
176,50,35.0009,0.84,100.0,449.44,555.96,1356.84,1128.76,5.48,8.0,194.18,2222.9,8350.95,1.02,42.13,183.06,2388.07,8068.9,9.3033,0.02,334,2223,100.0,14.59,8.8526,2023-03-20,1
176,51,25.0059,0.622,60.0,462.54,536.61,1268.38,1046.35,7.05,9.02,175.66,1915.39,8006.25,0.94,36.74,164.64,2028.24,7869.46,10.8772,0.02,307,1915,84.93,14.15,8.6182,2023-03-21,1
176,52,42.0006,0.84,100.0,445.0,549.54,1354.57,1122.0,3.91,5.72,139.47,2211.87,8322.09,1.02,41.93,130.82,2388.01,8083.62,9.356,0.02,332,2212,100.0,10.77,6.322,2023-03-22,1
176,53,35.0007,0.84,100.0,449.44,556.41,1361.52,1126.8,5.48,8.0,194.94,2223.0,8352.05,1.02,42.08,183.31,2388.02,8064.23,9.3369,0.02,335,2223,100.0,14.84,8.9849,2023-03-23,1
176,54,10.0069,0.25,100.0,489.05,604.35,1504.01,1309.03,10.52,15.49,394.29,2318.98,8779.93,1.26,45.39,371.9,2388.13,8133.8,8.6322,0.03,370,2319,100.0,28.58,17.2375,2023-03-24,1
176,55,0.0026,0.0,100.0,518.67,642.77,1602.91,1410.31,14.62,21.61,553.47,2388.08,9051.85,1.3,47.61,521.59,2388.04,8141.24,8.4219,0.03,394,2388,100.0,38.86,23.2876,2023-03-25,1
176,56,20.0078,0.7,100.0,491.19,607.85,1483.96,1252.24,9.35,13.65,334.65,2324.02,8719.26,1.08,44.48,314.37,2388.1,8058.31,9.2352,0.02,365,2324,100.0,24.38,14.602,2023-03-26,1
176,57,0.0007,0.0,100.0,518.67,642.24,1595.52,1408.39,14.62,21.61,553.06,2388.09,9061.22,1.3,47.41,521.92,2388.07,8134.42,8.4458,0.03,394,2388,100.0,38.84,23.3856,2023-03-27,1
176,58,35.0041,0.84,100.0,449.44,555.13,1367.47,1128.62,5.48,8.0,194.07,2223.0,8351.67,1.02,42.0,183.44,2388.03,8065.39,9.3272,0.02,334,2223,100.0,14.79,8.8805,2023-03-28,1
176,59,35.0055,0.8415,100.0,449.44,555.84,1364.38,1127.2,5.48,8.0,194.66,2222.87,8346.59,1.02,42.04,183.28,2388.05,8066.76,9.313,0.02,333,2223,100.0,14.91,8.8914,2023-03-29,1
176,60,42.0078,0.8403,100.0,445.0,550.06,1348.03,1132.91,3.91,5.71,138.4,2211.89,8324.88,1.02,41.9,130.59,2388.02,8083.41,9.3864,0.02,330,2212,100.0,10.64,6.3732,2023-03-30,1
176,61,42.0075,0.8408,100.0,445.0,549.41,1359.53,1128.82,3.91,5.71,138.43,2211.89,8325.23,1.02,42.09,130.82,2387.99,8079.46,9.3592,0.02,330,2212,100.0,10.57,6.3171,2023-03-31,1
176,62,35.0,0.8404,100.0,449.44,555.16,1365.38,1126.5,5.48,8.0,194.54,2222.97,8361.58,1.02,42.01,182.88,2388.01,8064.34,9.3227,0.02,333,2223,100.0,14.8,8.8868,2023-04-01,1
176,63,0.0021,0.0008,100.0,518.67,642.12,1579.76,1409.26,14.62,21.61,552.98,2388.15,9056.51,1.3,47.43,521.29,2388.08,8136.13,8.4204,0.03,392,2388,100.0,38.9,23.3096,2023-04-02,1
176,64,25.0063,0.6206,60.0,462.54,536.47,1254.64,1053.08,7.05,9.03,174.82,1915.39,8015.82,0.94,36.78,164.61,2028.21,7875.73,10.8871,0.02,307,1915,84.93,14.21,8.6125,2023-04-03,1
176,65,42.0013,0.841,100.0,445.0,550.36,1357.28,1129.39,3.91,5.72,138.18,2211.85,8321.53,1.02,42.14,130.61,2387.91,8086.18,9.357,0.02,330,2212,100.0,10.58,6.3853,2023-04-04,1
176,66,9.9983,0.2505,100.0,489.05,604.08,1502.41,1304.98,10.52,15.49,394.51,2318.93,8782.21,1.26,45.44,371.73,2388.13,8127.85,8.6545,0.03,369,2319,100.0,28.61,17.0582,2023-04-05,1
176,67,41.9982,0.84,100.0,445.0,549.72,1355.91,1124.45,3.91,5.71,138.2,2211.78,8320.0,1.02,42.0,129.85,2387.94,8080.28,9.352,0.02,331,2212,100.0,10.62,6.3315,2023-04-06,1
176,68,42.0,0.8415,100.0,445.0,550.09,1356.48,1125.32,3.91,5.72,138.18,2211.87,8323.73,1.02,42.28,130.59,2387.96,8082.71,9.3486,0.02,331,2212,100.0,10.57,6.4545,2023-04-07,1
176,69,20.0066,0.7,100.0,491.19,607.89,1476.35,1256.33,9.35,13.66,334.48,2324.05,8725.89,1.08,44.46,314.76,2388.05,8057.84,9.2222,0.02,365,2324,100.0,24.45,14.6961,2023-04-08,1
176,70,34.9997,0.8418,100.0,449.44,555.62,1367.36,1125.72,5.48,8.0,194.43,2222.93,8347.76,1.02,41.93,183.26,2388.01,8066.21,9.301,0.02,332,2223,100.0,14.69,8.8144,2023-04-09,1
176,71,42.0053,0.8412,100.0,445.0,549.96,1355.82,1126.5,3.91,5.71,139.02,2211.91,8323.7,1.02,41.92,130.49,2388.03,8080.84,9.4145,0.02,329,2212,100.0,10.57,6.4274,2023-04-10,1
176,72,42.0015,0.84,100.0,445.0,549.57,1345.69,1120.26,3.91,5.71,138.57,2211.83,8318.54,1.02,42.07,130.55,2387.92,8080.39,9.3744,0.02,331,2212,100.0,10.63,6.3123,2023-04-11,1
176,73,0.003,0.0016,100.0,518.67,642.84,1589.4,1408.12,14.62,21.61,553.55,2388.08,9059.68,1.3,47.46,521.6,2388.14,8135.19,8.4497,0.03,393,2388,100.0,38.96,23.2538,2023-04-12,1
176,74,25.0078,0.62,60.0,462.54,536.61,1269.04,1052.1,7.05,9.03,175.19,1915.31,8011.7,0.94,36.87,165.01,2028.16,7877.08,10.9308,0.02,308,1915,84.93,14.21,8.5119,2023-04-13,1
176,75,42.0072,0.8406,100.0,445.0,549.37,1347.35,1124.39,3.91,5.72,139.15,2211.89,8324.24,1.02,42.28,130.18,2387.98,8081.38,9.3952,0.02,329,2212,100.0,10.59,6.372,2023-04-14,1
176,76,0.0008,0.0008,100.0,518.67,642.62,1583.85,1403.59,14.62,21.61,554.45,2388.11,9063.04,1.3,47.44,521.72,2388.11,8134.32,8.4328,0.03,395,2388,100.0,38.69,23.4437,2023-04-15,1
176,77,25.0039,0.6207,60.0,462.54,537.03,1268.47,1050.25,7.05,9.03,175.03,1915.32,8004.11,0.94,36.74,165.17,2028.19,7877.43,10.8984,0.02,307,1915,84.93,14.19,8.5843,2023-04-16,1
176,78,20.0011,0.7,100.0,491.19,607.93,1483.58,1254.0,9.35,13.66,335.01,2323.97,8723.43,1.08,44.3,315.37,2388.13,8061.17,9.242,0.02,364,2324,100.0,24.44,14.6686,2023-04-17,1
176,79,42.0006,0.841,100.0,445.0,549.78,1349.24,1124.12,3.91,5.71,137.95,2211.85,8316.05,1.02,42.01,130.49,2387.92,8084.53,9.3625,0.02,331,2212,100.0,10.54,6.3716,2023-04-18,1
176,80,10.0078,0.25,100.0,489.05,605.37,1504.46,1311.87,10.52,15.49,394.31,2319.02,8777.53,1.26,45.85,371.51,2388.18,8124.42,8.6476,0.03,371,2319,100.0,28.52,17.0116,2023-04-19,1
176,81,24.999,0.621,60.0,462.54,536.48,1270.51,1050.46,7.05,9.03,174.94,1915.33,8009.71,0.94,36.63,164.46,2028.24,7872.7,10.8763,0.02,306,1915,84.93,14.26,8.5289,2023-04-20,1
176,82,10.0052,0.25,100.0,489.05,604.31,1500.67,1307.24,10.52,15.5,394.65,2318.98,8781.41,1.26,45.59,371.55,2388.2,8130.53,8.6711,0.03,369,2319,100.0,28.48,17.1358,2023-04-21,1
176,83,20.006,0.7002,100.0,491.19,607.58,1484.48,1251.38,9.35,13.66,334.41,2323.99,8724.88,1.08,44.49,315.13,2388.12,8055.94,9.2176,0.02,366,2324,100.0,24.3,14.7844,2023-04-22,1
176,84,42.0077,0.84,100.0,445.0,549.06,1355.16,1133.58,3.91,5.72,138.35,2211.88,8320.27,1.02,42.23,130.86,2387.94,8083.53,9.369,0.02,331,2212,100.0,10.69,6.3489,2023-04-23,1
176,85,35.0074,0.84,100.0,449.44,556.17,1368.95,1135.92,5.48,8.0,194.52,2222.92,8350.39,1.02,41.92,182.78,2388.0,8067.82,9.3447,0.02,334,2223,100.0,14.78,8.8011,2023-04-24,1
176,86,34.9982,0.84,100.0,449.44,555.44,1358.66,1135.93,5.48,8.0,194.27,2222.95,8343.0,1.02,41.87,183.02,2387.98,8064.66,9.2952,0.02,334,2223,100.0,14.73,8.9005,2023-04-25,1
176,87,42.0002,0.8419,100.0,445.0,549.09,1353.0,1125.68,3.91,5.72,138.16,2211.87,8315.8,1.02,42.33,130.87,2387.95,8086.19,9.3994,0.02,332,2212,100.0,10.71,6.2697,2023-04-26,1
176,88,0.001,0.0,100.0,518.67,642.67,1587.33,1407.04,14.62,21.61,553.16,2388.13,9053.5,1.3,47.61,521.39,2388.1,8134.81,8.4161,0.03,394,2388,100.0,38.9,23.3172,2023-04-27,1
176,89,42.0057,0.84,100.0,445.0,549.37,1351.43,1128.14,3.91,5.72,138.86,2211.82,8328.46,1.02,42.15,130.98,2387.92,8081.4,9.3895,0.02,331,2212,100.0,10.58,6.2713,2023-04-28,1
176,90,35.006,0.8406,100.0,449.44,555.94,1362.27,1135.01,5.48,8.0,194.58,2222.97,8356.05,1.02,42.18,182.92,2388.07,8071.02,9.3518,0.02,334,2223,100.0,14.58,8.7704,2023-04-29,1
176,91,25.0056,0.62,60.0,462.54,536.95,1268.29,1047.65,7.05,9.03,175.07,1915.34,8010.85,0.94,36.74,164.88,2028.22,7870.47,10.871,0.02,306,1915,84.93,13.99,8.5356,2023-04-30,1
176,92,10.0048,0.2517,100.0,489.05,604.58,1508.4,1308.43,10.52,15.49,395.05,2318.96,8780.56,1.26,45.55,371.22,2388.16,8131.55,8.6702,0.03,371,2319,100.0,28.51,17.1539,2023-05-01,1
176,93,10.0074,0.2512,100.0,489.05,605.05,1500.37,1309.33,10.52,15.5,394.27,2318.95,8776.23,1.26,45.42,371.37,2388.21,8128.88,8.6788,0.03,369,2319,100.0,28.49,16.9315,2023-05-02,1
176,94,25.001,0.62,60.0,462.54,536.51,1258.1,1047.0,7.05,9.03,175.29,1915.33,8013.27,0.94,36.89,164.97,2028.23,7874.39,10.9324,0.02,307,1915,84.93,14.21,8.5911,2023-05-03,1
176,95,0.003,0.0002,100.0,518.67,642.23,1597.07,1417.65,14.62,21.61,553.14,2388.13,9061.3,1.3,47.47,521.33,2388.12,8130.66,8.4076,0.03,393,2388,100.0,38.97,23.3448,2023-05-04,1
176,96,20.005,0.7,100.0,491.19,607.78,1484.02,1257.96,9.35,13.66,334.83,2324.0,8720.2,1.08,44.59,314.9,2388.17,8058.71,9.237,0.02,363,2324,100.0,24.3,14.6984,2023-05-05,1
176,97,42.0012,0.8413,100.0,445.0,549.38,1357.5,1133.26,3.91,5.71,138.39,2211.8,8318.64,1.02,42.24,130.34,2387.86,8085.15,9.3991,0.02,331,2212,100.0,10.61,6.2778,2023-05-06,1
176,98,42.0016,0.84,100.0,445.0,549.27,1356.97,1125.26,3.91,5.72,138.74,2211.87,8323.7,1.02,42.04,130.34,2387.95,8084.57,9.3493,0.02,330,2212,100.0,10.55,6.3186,2023-05-07,1
176,99,35.0055,0.84,100.0,449.44,555.88,1366.79,1143.38,5.48,8.0,194.25,2222.91,8349.84,1.02,42.06,183.27,2387.98,8067.72,9.3381,0.02,334,2223,100.0,14.58,8.9322,2023-05-08,1
176,100,35.0001,0.8402,100.0,449.44,556.21,1372.6,1133.93,5.48,8.0,194.32,2222.93,8348.3,1.02,42.17,183.06,2388.0,8063.14,9.3391,0.02,334,2223,100.0,14.97,8.8634,2023-05-09,1
176,101,35.005,0.8414,100.0,449.44,555.71,1371.42,1133.55,5.48,8.0,194.42,2222.9,8353.81,1.02,42.11,183.47,2388.0,8068.26,9.3771,0.02,334,2223,100.0,14.62,8.9463,2023-05-10,1
176,102,25.002,0.62,60.0,462.54,536.61,1258.95,1044.44,7.05,9.03,175.0,1915.42,8015.4,0.94,36.89,164.2,2028.27,7872.63,10.9043,0.02,308,1915,84.93,14.38,8.5255,2023-05-11,1
176,103,10.0004,0.2507,100.0,489.05,604.83,1495.4,1310.4,10.52,15.49,393.69,2319.0,8774.16,1.26,45.61,371.44,2388.18,8130.74,8.6651,0.03,371,2319,100.0,28.46,17.0969,2023-05-12,1
176,104,42.0078,0.84,100.0,445.0,550.18,1362.01,1131.15,3.91,5.71,138.87,2211.77,8326.49,1.02,42.12,131.07,2387.9,8085.11,9.367,0.02,330,2212,100.0,10.62,6.2085,2023-05-13,1
176,105,42.0064,0.84,100.0,445.0,549.36,1357.17,1140.24,3.91,5.72,138.18,2211.83,8326.06,1.02,42.25,130.27,2387.93,8083.16,9.4069,0.02,331,2212,100.0,10.6,6.394,2023-05-14,1
176,106,20.0046,0.7001,100.0,491.19,607.23,1476.76,1251.5,9.35,13.66,334.04,2324.03,8718.45,1.08,44.52,314.56,2388.09,8056.51,9.2833,0.02,366,2324,100.0,24.38,14.7116,2023-05-15,1
176,107,42.0032,0.8402,100.0,445.0,549.88,1357.73,1134.16,3.91,5.72,138.47,2211.81,8325.22,1.02,42.25,130.61,2387.87,8080.41,9.4009,0.02,332,2212,100.0,10.5,6.3253,2023-05-16,1
176,108,24.9998,0.62,60.0,462.54,536.38,1265.64,1058.0,7.05,9.03,175.79,1915.27,8009.43,0.94,36.66,164.33,2028.18,7872.44,10.9137,0.02,307,1915,84.93,14.35,8.5622,2023-05-17,1
176,109,35.0049,0.84,100.0,449.44,555.87,1365.75,1129.52,5.48,8.0,193.94,2222.9,8350.78,1.02,42.13,182.94,2387.99,8066.39,9.3543,0.02,333,2223,100.0,14.7,8.9475,2023-05-18,1
176,110,42.0018,0.8407,100.0,445.0,549.22,1364.16,1124.56,3.91,5.71,138.58,2211.8,8322.58,1.02,42.4,130.26,2387.83,8084.16,9.3921,0.02,332,2212,100.0,10.53,6.211,2023-05-19,1
176,111,20.0008,0.701,100.0,491.19,606.99,1488.76,1248.84,9.35,13.66,335.07,2324.06,8720.2,1.07,44.39,314.54,2388.12,8063.06,9.2336,0.02,365,2324,100.0,24.34,14.6681,2023-05-20,1
176,112,25.0047,0.62,60.0,462.54,537.04,1259.62,1049.9,7.05,9.03,175.31,1915.28,8015.68,0.94,36.91,164.65,2028.16,7872.38,10.9079,0.02,309,1915,84.93,14.2,8.6175,2023-05-21,1
176,113,0.0022,0.0,100.0,518.67,642.8,1590.3,1411.82,14.62,21.61,553.31,2388.13,9056.88,1.3,47.71,520.94,2388.16,8134.27,8.4783,0.03,393,2388,100.0,38.82,23.2109,2023-05-22,1
176,114,10.0058,0.25,100.0,489.05,605.07,1495.56,1310.25,10.52,15.5,394.38,2319.0,8769.46,1.26,45.68,371.24,2388.19,8124.59,8.7036,0.03,367,2319,100.0,28.38,17.0412,2023-05-23,1
176,115,10.0008,0.25,100.0,489.05,605.72,1501.33,1316.25,10.52,15.5,393.43,2319.01,8778.68,1.26,45.61,370.85,2388.19,8130.28,8.6777,0.03,371,2319,100.0,28.38,17.164,2023-05-24,1
176,116,19.9991,0.7,100.0,491.19,607.57,1484.18,1252.8,9.35,13.66,334.18,2324.02,8714.11,1.07,44.68,313.93,2388.18,8061.21,9.2121,0.02,366,2324,100.0,24.57,14.7285,2023-05-25,1
176,117,35.0042,0.84,100.0,449.44,556.26,1362.19,1137.47,5.48,8.0,193.89,2222.86,8344.6,1.02,42.18,183.06,2388.07,8063.38,9.3285,0.02,335,2223,100.0,14.69,8.9222,2023-05-26,1
176,118,24.9986,0.62,60.0,462.54,537.05,1267.48,1061.21,7.05,9.03,175.16,1915.27,8013.49,0.94,37.12,164.17,2028.1,7871.5,10.9379,0.02,308,1915,84.93,14.2,8.5879,2023-05-27,1
